JobTitle,TechnicalSkills,Frameworks,VersionControl,SoftSkills,Tools
AI Platform Engineer,"Platform Development, API Integration","Docker, Kubernetes",Git,"Problem-Solving, Communication","Jupyter Notebook, Postman"
Data Governance Specialist,"Data Management, Compliance",Various,Git,"Attention to Detail, Analytical Skills","Collibra, Alation"
Statistical Programmer,"Statistical Analysis, Data Manipulation","R, SAS, Python",Git,"Problem-Solving, Communication","SAS, SPSS"
AI Infrastructure Engineer,"Infrastructure Design, Cloud Management","AWS, Azure, Google Cloud",Git,"Communication, Team Collaboration","Terraform, Ansible"
Fraud Detection Analyst (AI),"Fraud Detection Techniques, Risk Assessment","Python, R",Git,"Analytical Thinking, Attention to Detail","SAS, Excel"
Behavioral Data Scientist,"Behavioral Analysis, User Research","R, Python",Git,"Communication, Critical Thinking","Tableau, Power BI"
AI Innovation Manager,"Innovation Strategies, Research Development",Various,Git,"Leadership, Creativity","Trello, JIRA"
Smart Automation Engineer,"Automation Techniques, Workflow Optimization","UiPath, Automation Anywhere",Git,"Problem-Solving, Communication","Jenkins, Ansible"
Machine Learning Consultant,"Client Consultation, Model Development",Various,Git,"Communication, Problem-Solving","MS Office, JIRA"
Bioinformatics Data Scientist,"Genomic Data Analysis, Bioinformatics Tools","Bioconductor, R",Git,"Analytical Skills, Communication","Galaxy, Bioconductor"
AI Compliance Officer,"Compliance Management, Risk Analysis",Various,Git,"Attention to Detail, Communication",Compliance Software
Data Strategy Manager,"Data Strategy Development, Stakeholder Engagement",Various,Git,"Leadership, Strategic Thinking","JIRA, Confluence"
AI Customer Experience Manager,"Customer Insights, User Experience Design",Various,Git,"Empathy, Communication","SurveyMonkey, Qualtrics"
Computer Graphics Engineer,"Graphics Programming, Animation Techniques","OpenGL, DirectX",Git,"Creativity, Attention to Detail","Blender, Maya"
Augmented Reality Developer,"AR Development, 3D Modeling","Unity, ARKit",Git,"Problem-Solving, Creativity","Unreal Engine, Vuforia"
AI Deployment Specialist,"Model Deployment, Production Readiness","Docker, Kubernetes",Git,"Communication, Team Collaboration",Jupyter Notebook
Smart Devices Engineer,"IoT Development, Device Integration","Arduino, Raspberry Pi",Git,"Problem-Solving, Innovation","Node-RED, MQTT"
AI Technical Writer,"Technical Documentation, User Manuals",Various,Git,"Communication, Attention to Detail","Markdown, Confluence"
Research Engineer (Machine Learning),"Research Design, Data Analysis","TensorFlow, Keras",Git,"Analytical Thinking, Team Collaboration",Jupyter Notebook
AI Community Manager,"Community Engagement, Content Creation",Various,Git,"Communication, Creativity","Slack, Discord"
Data Security Analyst (AI),"Data Security, Risk Assessment",Various,Git,"Analytical Skills, Attention to Detail",SIEM Tools
Financial Analyst (AI),"Financial Modeling, Data Analysis","Excel, R",Git,"Critical Thinking, Problem-Solving","Tableau, Bloomberg"
Algorithm Research Scientist,"Algorithm Development, Research Analysis","TensorFlow, PyTorch",Git,"Critical Thinking, Analytical Skills",Jupyter Notebook
Predictive Analytics Consultant,"Predictive Modeling, Data Analysis","R, Python",Git,"Communication, Problem-Solving","SAS, Tableau"
AI Curriculum Developer,"Curriculum Design, Educational Content",Various,Git,"Communication, Creativity",LMS Platforms
AI Business Analyst,"Business Analysis, Requirements Gathering",Various,Git,"Analytical Thinking, Communication","MS Office, JIRA"
Autonomous Systems Engineer,"Autonomous System Design, Robotics","ROS, MATLAB",Git,"Problem-Solving, Team Collaboration","Gazebo, RViz"
AI Performance Engineer,"Performance Analysis, Model Optimization","TensorFlow, PyTorch",Git,"Analytical Thinking, Communication",Jupyter Notebook
Data Quality Analyst,"Data Quality Assessment, Data Cleansing","SQL, Python",Git,"Attention to Detail, Analytical Skills","Excel, Data Quality Tools"
Visual Data Analyst,"Data Visualization, Dashboard Development","Tableau, Power BI",Git,"Creativity, Communication","D3.js, Google Data Studio"
AI Hardware Engineer,"Hardware Design, Prototyping",Various,Git,"Problem-Solving, Attention to Detail",CAD Software
Data Operations Manager,"Data Operations, Data Management",Various,Git,"Leadership, Communication","Apache Kafka, Talend"
Machine Learning Trainer,"Model Training, Data Annotation",Various,Git,"Communication, Attention to Detail",Jupyter Notebook
Knowledge Engineer,"Knowledge Representation, Ontology Development","OWL, RDF",Git,"Analytical Thinking, Communication",Protégé
AI Test Engineer,"Testing AI Models, Quality Assurance",Various,Git,"Attention to Detail, Analytical Skills","Selenium, JIRA"
Data Warehouse Developer,"Data Warehouse Design, ETL Processes","Snowflake, Redshift",Git,"Problem-Solving, Analytical Skills","Talend, Informatica"
AI Systems Integrator,"System Integration, API Development",Various,Git,"Team Collaboration, Communication","Postman, JIRA"
Robotics Process Automation Developer,"RPA Tools, Automation Frameworks","UiPath, Blue Prism",Git,"Problem-Solving, Attention to Detail",Automation Tools
AI Risk Analyst,"Risk Assessment, Data Privacy",Various,Git,"Analytical Skills, Attention to Detail",Risk Management Software
Computational Linguist,"Computational Linguistics, NLP","NLTK, SpaCy",Git,"Analytical Skills, Communication","Python, R"
Game AI Developer,"Game Development, AI Techniques","Unity, Unreal Engine",Git,"Creativity, Problem-Solving","Blender, JIRA"
AI Marketing Specialist,"Marketing Analytics, Campaign Management","Google Analytics, HubSpot",Git,"Communication, Creativity","SEMrush, Moz"
Social Media Analyst (AI),"Social Media Analytics, Content Strategy","Hootsuite, Sprout Social",Git,"Communication, Analytical Skills","Excel, Tableau"
AI Strategy Consultant,"AI Strategy Development, Business Case Analysis",Various,Git,"Strategic Thinking, Communication","MS Office, JIRA"
Data Collection Specialist,"Data Collection Techniques, Survey Design","Google Forms, Qualtrics",Git,"Attention to Detail, Communication","MS Office, Google Sheets"
AI Lab Technician,"Lab Management, Equipment Maintenance",Various,Git,"Attention to Detail, Problem-Solving",Lab Management Software
AI Model Validator,"Model Validation, Performance Testing",Various,Git,"Analytical Skills, Attention to Detail",Jupyter Notebook
Machine Learning Solutions Architect,"Solution Design, System Architecture",Various,Git,"Strategic Thinking, Communication","MS Office, Visio"
Cognitive Analyst,"Cognitive Analytics, Behavioral Insights","R, Python",Git,"Analytical Skills, Problem-Solving","Tableau, Excel"
Data Science Instructor,"Teaching Data Science, Curriculum Development",Various,Git,"Communication, Creativity",LMS Platforms
AI Research Analyst,"Research Analysis, Data Interpretation","R, Python",Git,"Analytical Skills, Communication",Jupyter Notebook
Machine Learning Systems Engineer,"Systems Engineering, Model Deployment","TensorFlow, Kubernetes",Git,"Problem-Solving, Team Collaboration","Docker, Jenkins"
Video Analytics Engineer,"Video Processing, Object Tracking","OpenCV, TensorFlow",Git,"Attention to Detail, Creativity","Python, MATLAB"
AI Compliance Specialist,"Regulatory Compliance, Risk Management",Various,Git,"Attention to Detail, Communication",Compliance Software
Multi-Modal Data Scientist,"Multi-Modal Learning, Data Fusion","TensorFlow, PyTorch",Git,"Analytical Skills, Problem-Solving",Jupyter Notebook
AI Deployment Manager,"Model Deployment, Production Readiness","Docker, Kubernetes",Git,"Team Collaboration, Communication","Jenkins, Ansible"
AI Research Assistant,"Literature Review, Data Collection","Communication, Attention to Detail","MS Office, Jupyter Notebook",,
Digital Twin Engineer,"Digital Twin Technology, Simulation","Problem-Solving, Analytical Skills","AnyLogic, TwinCAT",,
AI Ethics Officer,"AI Ethics, Compliance, Risk Assessment","Analytical Thinking, Communication",Ethical Compliance Tools,,
AI Data Labeling Specialist,"Data Annotation, Quality Assurance","Attention to Detail, Team Collaboration","Labelbox, Supervisely",,
AI Data Curator,"Data Curation, Data Management","Analytical Skills, Communication","Excel, Data Management Tools",,
AI User Experience Designer,"UX Design, User Research","Creativity, Communication","InVision, Adobe XD",,
AI Content Strategist,"Content Development, SEO","Creative Thinking, Communication","CMS Platforms, Google Analytics",,
AI Talent Acquisition Specialist,"Talent Sourcing, Recruitment Strategies","Communication, Interpersonal Skills",Applicant Tracking Systems,,
AI Supply Chain Analyst,"Supply Chain Optimization, Data Analysis","Analytical Thinking, Problem-Solving","Tableau, ERP Software",,
AI Operations Analyst,"Operations Analysis, Process Improvement","Analytical Skills, Communication",Process Mapping Tools,,
AI Finance Analyst,"Financial Analysis, Risk Assessment","Analytical Thinking, Communication","Excel, Bloomberg",,
AI Business Development Manager,"Business Development, Client Relations","Strategic Thinking, Networking","CRM Software, MS Office",,
