JobTitle,TechnicalSkills,Frameworks,VersionControl,SoftSkills,Tools
Aerospace Researcher,"Aerodynamics, Fluid Mechanics, Computational Modeling","MATLAB, Simulink, OpenFOAM, Python",Git,"Critical Thinking, Collaboration, Communication","ANSYS, COMSOL"
Air Traffic Controller,"Radar Systems, Communication Protocols, Navigation","EuroControl Tools, NAV Canada, CAAS, Radar Systems",None,"Decision Making, Stress Management, Communication","Radar Systems, ATC Software"
Satellite Systems Engineer,"Satellite Design, Orbital Mechanics, Communication Systems","MATLAB, Simulink, STK, GMAT",Git,"Problem Solving, Teamwork, Communication","STK, AutoCAD"
Spacecraft Engineer,"Orbital Mechanics, Space Systems, Thermal Systems","STK, MATLAB, Simulink, FreeFlyer",Git,"Analytical Thinking, Teamwork, Communication","ANSYS, STK, SolidWorks"
Flight Operations Engineer,"Flight Planning, Navigation, Flight Systems","FlightOps, MATLAB, FlightGear, X-Plane",Git,"Communication, Problem Solving, Decision Making","Flight Management System (FMS), LIDO"
Flight Simulation Engineer,"Flight Dynamics, Control Systems, Simulation Modeling","X-Plane, MATLAB, Simulink, FlightGear",Git,"Problem Solving, Analytical Thinking, Teamwork","Simulink, X-Plane"
Airline Operations Manager,"Logistics, Aircraft Scheduling, Flight Path Optimization","Sabre, Amadeus, SITA, Airline Operations Software",Git,"Leadership, Time Management, Communication","Sabre, Amadeus"
Space Systems Analyst,"Spacecraft Operations, Mission Planning, Data Analysis","MATLAB, STK, Simulink, Python",Git,"Problem Solving, Attention to Detail, Teamwork","STK, COMSOL"
Autonomous Vehicle Engineer,"Control Systems, Machine Learning, Robotics","ROS (Robot Operating System), TensorFlow, OpenCV, Gazebo",Git,"Problem Solving, Creativity, Teamwork","Gazebo, MATLAB, Simulink"
Aircraft Design Engineer,"Aerodynamics, Structural Design, Flight Testing","CATIA, SolidWorks, NX, OpenVSP",Git,"Creativity, Teamwork, Problem Solving","MATLAB, AutoCAD, CATIA"
Test Pilot,"Flight Dynamics, Aircraft Systems, Instrumentation","X-Plane, Flight Test Instrumentation Software, MATLAB",None,"Communication, Decision Making, Leadership","Flight Test Instrumentation, FDR"
Airline Maintenance Manager,"Aircraft Maintenance, Safety, Regulations","AMOS, Maximo, RAMCO, Aircraft Maintenance Software",Git,"Leadership, Communication, Problem Solving","SAP, AMM"
Wind Tunnel Test Engineer,"Fluid Mechanics, Aerodynamics, Testing","OpenFOAM, ANSYS Fluent, LabVIEW, MATLAB",Git,"Attention to Detail, Problem Solving, Teamwork","Wind Tunnel Equipment, LabVIEW"
Space Mission Planner,"Mission Design, Orbital Mechanics, Space Navigation","GMAT, MATLAB, STK, Python",Git,"Problem Solving, Communication, Teamwork","STK, Space Software Suite"
Avionics Software Engineer,"Embedded Systems, Firmware Development, Digital Systems","DO-178C, VxWorks, Simulink, Embedded C/C++",Git,"Analytical Thinking, Communication, Problem Solving","Keil, Eclipse, TestStand"
Flight Data Analyst,"Data Analysis, Flight Path Optimization, Systems Analysis","MATLAB, R, Flight Data Monitoring Software, Python",Git,"Analytical Thinking, Attention to Detail, Teamwork","Tableau, Excel, Splunk"
Radar Systems Engineer,"Signal Processing, Radar Technologies, Electronics","MATLAB, Simulink, HFSS, CST Studio",Git,"Problem Solving, Attention to Detail, Communication","MATLAB, Radar Tools"
Spacecraft Payload Engineer,"Payload Design, Power Systems, Communication Systems","MATLAB, Simulink, PLEXUS, STK",Git,"Attention to Detail, Problem Solving, Teamwork","STK, SolidWorks"
Mission Control Engineer,"Telemetry, Space Systems, Communication Protocols","MATLAB, Simulink, STK, NASA's GMAT",Git,"Problem Solving, Teamwork, Communication","MATLAB, STK, Telemetry Systems"
Unmanned Aerial Vehicle (UAV) Engineer,"Drone Design, Control Systems, Embedded Systems","ROS (Robot Operating System), PX4, MAVLink, Gazebo",Git,"Creativity, Problem Solving, Teamwork","Ardupilot, Pixhawk, QGroundControl"
Space Launch Engineer,"Rocket Propulsion, Orbital Mechanics, Launch Systems","MATLAB, Simulink, STK (Systems Tool Kit), OpenRocket",Git,"Problem Solving, Analytical Thinking, Teamwork","SolidWorks, ANSYS"
Aircraft Systems Engineer,"Flight Control Systems, Avionics, Aircraft Architecture","Simulink, DOORS, MATLAB, CATIA",Git,"Attention to Detail, Communication, Problem Solving","Simulink, AutoCAD"
Satellite Communication Engineer,"Satellite Systems, Communication Protocols, Antennas","MATLAB, STK, Simulink, COMSOL",Git,"Communication, Analytical Thinking, Problem Solving","STK, COMSOL"
Mission Planning Engineer,"Mission Design, Space Navigation, Orbital Mechanics","GMAT (General Mission Analysis Tool), STK, MATLAB, Python",Git,"Problem Solving, Communication, Collaboration","STK, AutoCAD"
Aircraft Performance Engineer,"Aerodynamics, Flight Performance, Data Analysis","MATLAB, Simulink, AVL (Athena Vortex Lattice), XFOIL",Git,"Problem Solving, Attention to Detail, Communication","Wind Tunnel Data, CATIA"
Aerospace Software Engineer,"Software Development, Embedded Systems, C/C++","MATLAB, Simulink, C++, VxWorks, Python",Git,"Problem Solving, Communication, Collaboration","MATLAB, Simulink"
Aircraft Control Engineer,"Control Systems, Flight Dynamics, Optimization","MATLAB, Simulink, Control Design Toolbox, Simulink 3D Animation",Git,"Problem Solving, Analytical Thinking, Teamwork","Simulink, MATLAB"
Electro-Optical Engineer,"Optical Systems, Electronics, Sensors","COMSOL, MATLAB, Zemax",Git,"Problem Solving, Creativity, Teamwork",Optical Simulation Tools
Space Program Manager,"Project Management, Space Mission Design, Scheduling","MS Project, JIRA, DOORS, Primavera P6",Git,"Leadership, Communication, Problem Solving","Microsoft Project, Excel"
Satellite Payload Specialist,"Payload Integration, Payload Testing, Mission Requirements","MATLAB, STK, GMAT, FreeFlyer",Git,"Attention to Detail, Problem Solving, Teamwork","STK, COMSOL"
Autonomous Aircraft Engineer,"Control Systems, Artificial Intelligence, UAVs","ROS (Robot Operating System), PX4, TensorFlow, OpenCV",Git,"Problem Solving, Creativity, Teamwork","PX4, QGroundControl"
Radar and Communications Engineer,"Radar, Signal Processing, Communication Systems","MATLAB, Simulink, LabVIEW, CST Studio",Git,"Problem Solving, Communication, Teamwork","MATLAB, SolidWorks"
Aerospace Software Developer,"Software Development, Embedded Systems, C++","C++, Python, MATLAB, Simulink, VxWorks",Git,"Problem Solving, Communication, Collaboration","Eclipse, VS Code"
Spacecraft Operations Engineer,"Satellite Operations, Ground Systems, Telemetry","STK, GMAT, Simulink, Python",Git,"Communication, Problem Solving, Collaboration","STK, Telemetry Software"
Air Traffic Management Specialist,"Air Traffic Control, Routing Algorithms, Flight Path Planning","EuroControl Tools, NAV Canada, CAAS, ATC Simulators",None,"Decision Making, Stress Management, Communication","Radar Systems, ATC Software"
Space Mission Operations Specialist,"Spacecraft Operations, Ground Systems, Data Analysis","GMAT, MATLAB, STK, Python",Git,"Communication, Teamwork, Analytical Thinking","STK, Telemetry Systems"
Aircraft Design Analyst,"Aerodynamics, Aircraft Systems, Testing","CATIA, SolidWorks, MATLAB, Simulink",Git,"Attention to Detail, Communication, Problem Solving","SolidWorks, ANSYS"
Launch Vehicle Engineer,"Rocket Design, Propulsion Systems, Testing","MATLAB, OpenRocket, Simulink, STK",Git,"Problem Solving, Analytical Thinking, Teamwork","SolidWorks, ANSYS"
Propulsion Test Engineer,"Testing, Propulsion Systems, Data Analysis","GT-SUITE, MATLAB, LabVIEW, ANSYS Fluent",Git,"Problem Solving, Communication, Attention to Detail","LabVIEW, NI TestStand"
Satellite Communications Technician,"Satellite Systems, Communication Equipment, RF Engineering","MATLAB, STK, COMSOL, LabVIEW",Git,"Problem Solving, Communication, Teamwork","STK, RF Tools"
Aircraft Operations Engineer,"Aircraft Systems, Flight Path Analysis, Maintenance","FlightOps, X-Plane, MATLAB, Flight Simulation Software",Git,"Problem Solving, Communication, Attention to Detail",Flight Management System
Drone Software Engineer,"Embedded Systems, AI, Control Systems","ROS (Robot Operating System), PX4, MAVLink, TensorFlow",Git,"Creativity, Problem Solving, Teamwork","Ardupilot, PX4"
Systems Integration Engineer,"System Design, Integration, Testing","Simulink, MATLAB, DOORS, Jenkins",Git,"Problem Solving, Communication, Teamwork","DOORS, Simulink"
Space Robotics Engineer,"Robotics, Control Systems, Space Missions","ROS (Robot Operating System), MATLAB, Gazebo, Vuforia",Git,"Problem Solving, Creativity, Teamwork","Gazebo, Vuforia, MATLAB"
Aircraft Safety Engineer,"Safety Regulations, Flight Systems, Risk Management","DO-178C, FAA Certification Tools, MATLAB, Simulink",Git,"Problem Solving, Critical Thinking, Communication","Safety Analysis Tools, CATIA"
Avionics System Integrator,"Embedded Systems, Avionics, System Integration","VxWorks, DO-178C, Simulink, LabVIEW",Git,"Analytical Thinking, Communication, Problem Solving","LabVIEW, DOORS"
Rocket Propulsion Engineer,"Turbomachinery, Combustion, Fluid Dynamics","MATLAB, GT-SUITE, ANSYS Fluent, Simulink",Git,"Problem Solving, Creativity, Analytical Thinking","GT-SUITE, ANSYS"
Space Payload Integrator,"Payload Testing, Spacecraft Systems, Integration","GMAT, STK, FreeFlyer, MATLAB",Git,"Problem Solving, Attention to Detail, Teamwork","STK, COMSOL"
Airline Fleet Manager,"Aircraft Maintenance, Fleet Optimization, Safety","AMOS, RAMCO, FlightOps, SAP",Git,"Leadership, Communication, Decision Making","SAP, Fleet Management Tools"
Aircraft Structural Engineer,"Structural Analysis, Stress Testing, Aerodynamics","ANSYS, Abaqus, SolidWorks, CATIA",Git,"Attention to Detail, Problem Solving, Teamwork","ANSYS, SolidWorks"
Aerospace Materials Scientist,"Materials Engineering, Composite Materials, Fatigue Testing","COMSOL, ANSYS, MatWeb, SolidWorks",Git,"Analytical Thinking, Attention to Detail, Problem Solving","ANSYS, MATLAB"
Spacecraft Electrical Systems Designer,"Electrical Systems, Power Distribution, Wiring Design","Simulink, MATLAB, COMSOL, Altium Designer",Git,"Teamwork, Attention to Detail, Problem Solving","LabVIEW, Simulink"
Air Traffic Control System Designer,"Radar Systems, Communication Systems, Software Development","EuroControl Tools, ATC Simulators, MATLAB, Simulink",Git,"Communication, Analytical Thinking, Teamwork","STK, Simulink"
Satellite Communications Network Engineer,"RF Systems, Communications Protocols, Link Budget","MATLAB, COMSOL, STK, LabVIEW",Git,"Problem Solving, Communication, Analytical Thinking","LabVIEW, MATLAB"
Aircraft Performance Engineer,"Aerodynamics, Performance Analysis, Flight Testing","MATLAB, XFOIL, AVL (Athena Vortex Lattice), Simulink",Git,"Problem Solving, Teamwork, Attention to Detail","Simulink, MATLAB"
UAV Systems Integration Engineer,"UAV Design, System Integration, Performance Testing","ROS, PX4, MAVLink, Simulink",Git,"Problem Solving, Communication, Analytical Thinking","PX4, QGroundControl"
Space Vehicle Launch Engineer,"Launch Vehicle Design, Propulsion, Launch Systems","MATLAB, Simulink, OpenRocket, STK",Git,"Teamwork, Problem Solving, Communication","STK, MATLAB"
Aerospace Simulation Engineer,"Flight Simulation, System Modeling, Performance Analysis","Simulink, MATLAB, OpenFOAM, X-Plane",Git,"Problem Solving, Analytical Thinking, Teamwork","Simulink, MATLAB"
Propulsion System Designer,"Propulsion Systems, Combustion, Thermal Analysis","GT-SUITE, ANSYS, MATLAB, Simulink",Git,"Problem Solving, Attention to Detail, Teamwork","GT-SUITE, ANSYS"
UAV Flight Engineer,"Flight Systems, UAV Operations, Flight Testing","PX4, MAVLink, ROS, X-Plane",Git,"Attention to Detail, Communication, Problem Solving","QGroundControl, PX4"
Aerospace Compliance Specialist,"Aerospace Regulations, Safety Standards, Risk Management","DO-178C, ARP-4754A, FAA Certification Tools, ISO 9001",Git,"Attention to Detail, Critical Thinking, Communication","Excel, MATLAB"
Aerospace Design Engineer,"Aircraft Design, Structural Systems, Aerodynamics","CATIA, SolidWorks, MATLAB, Simulink",Git,"Problem Solving, Creativity, Teamwork","ANSYS, CATIA"
Aerospace Test Manager,"Test Planning, Test Engineering, Data Analysis","LabVIEW, TestStand, Simulink, MATLAB",Git,"Leadership, Problem Solving, Communication","DOORS, LabVIEW"
Spacecraft Thermal Systems Engineer,"Thermal Management, Heat Transfer, Structural Analysis","COMSOL, MATLAB, Simulink, Thermal Desktop",Git,"Problem Solving, Analytical Thinking, Attention to Detail","ANSYS, MATLAB"
Space Mission Operations Engineer,"Mission Planning, Space Systems, Data Analysis","GMAT, STK, MATLAB, Simulink",Git,"Communication, Problem Solving, Attention to Detail","STK, MATLAB"
Aircraft Avionics Technician,"Avionics Systems, Troubleshooting, Maintenance","LabVIEW, VxWorks, DO-178C, ARINC 429",Git,"Attention to Detail, Problem Solving, Teamwork","AMOS, Maximo"
Flight Test Data Analyst,"Data Collection, Flight Performance, Data Analysis","MATLAB, Python, R, Simulink",Git,"Problem Solving, Analytical Thinking, Communication","Simulink, MATLAB"
Space Operations Systems Engineer,"Spacecraft Systems, Operations, Control Systems","STK, GMAT, MATLAB, Simulink",Git,"Problem Solving, Communication, Teamwork","STK, MATLAB"
UAV Propulsion Engineer,"Propulsion Systems, UAV Operations, Performance Analysis","MATLAB, GT-SUITE, Simulink, OpenFOAM",Git,"Problem Solving, Analytical Thinking, Communication","PX4, Simulink"
Satellite Payload Integration Engineer,"Payload Integration, Spacecraft Systems, Testing","GMAT, MATLAB, STK, FreeFlyer",Git,"Problem Solving, Teamwork, Attention to Detail","STK, MATLAB"
Rocket Engine Test Engineer,"Rocket Propulsion, Test Engineering, Combustion Analysis","MATLAB, GT-SUITE, LabVIEW, ANSYS Fluent",Git,"Problem Solving, Communication, Attention to Detail","GT-SUITE, AVL BOOST"
UAV Design Architect,"UAV Design, Performance Analysis, Control Systems","CATIA, SolidWorks, MAVLink, Simulink",Git,"Problem Solving, Teamwork, Attention to Detail","PX4, QGroundControl"
Aerospace Materials Engineer,"Composite Materials, Fatigue Testing, Structural Integrity","COMSOL, ANSYS, SolidWorks, MatWeb",Git,"Problem Solving, Analytical Thinking, Teamwork","ANSYS, SolidWorks"
Satellite Control Systems Engineer,"Attitude Control, Orbital Mechanics, System Design","Simulink, MATLAB, STK, GMAT",Git,"Problem Solving, Communication, Analytical Thinking","STK, MATLAB"
Spacecraft Propulsion Engineer,"Propulsion Design, Fluid Mechanics, Combustion","GT-SUITE, MATLAB, Simulink, ANSYS Fluent",Git,"Problem Solving, Analytical Thinking, Communication","GT-SUITE, AVL BOOST"
Flight Data Systems Engineer,"Flight Data, Data Acquisition, System Design","MATLAB, LabVIEW, Flight Data Monitoring Software, Simulink",Git,"Problem Solving, Attention to Detail, Communication","LabVIEW, Simulink"
Space Mission Architect,"Mission Planning, Space Systems, Payload Design","GMAT, MATLAB, STK, Python",Git,"Problem Solving, Analytical Thinking, Communication","STK, MATLAB"
Aircraft Maintenance Manager,"Aircraft Systems, Maintenance Procedures, Safety","AMOS, Maximo, RAMCO, Aircraft Performance Monitoring Tools",Git,"Leadership, Problem Solving, Communication","Maximo, AMOS"
UAV Operations Manager,"UAV Operations, Flight Testing, Performance Analysis","PX4, MAVLink, Simulink, FlightOps",Git,"Leadership, Communication, Problem Solving","PX4, QGroundControl"
Aerospace Risk Management Specialist,"Risk Assessment, Safety Regulations, Compliance","MATLAB, Simulink, Risk Management Tools (e.g., Monte Carlo Simulation, FMEA)",Git,"Critical Thinking, Attention to Detail, Communication","DOORS, Excel"
Aerospace Project Coordinator,"Project Management, Scheduling, Budgeting","MS Project, JIRA, Primavera P6, DOORS",Git,"Communication, Time Management, Teamwork","MS Project, JIRA"
Aerospace Manufacturing Specialist,"Manufacturing Processes, Production Planning, Quality Control","CATIA, SolidWorks, NX, SAP",Git,"Problem Solving, Attention to Detail, Teamwork","AutoCAD, SolidWorks"
Satellite Communications Architect,"RF Communications, Link Budget, Satellite Systems","MATLAB, Simulink, STK, LabVIEW",Git,"Problem Solving, Analytical Thinking, Communication","STK, MATLAB"
Space Systems Engineer,"Spacecraft Design, Integration, System Testing","MATLAB, Simulink, STK, GMAT",Git,"Problem Solving, Teamwork, Communication","STK, MATLAB"
Airborne Surveillance Engineer,"Surveillance Systems, Signal Processing, Electromagnetics","MATLAB, Simulink, Radar Systems Software, CST Studio",Git,"Problem Solving, Communication, Analytical Thinking","LabVIEW, Simulink"
Avionics Integration Engineer,"Avionics Systems, Integration, Testing","DO-178C, VxWorks, MATLAB, Simulink",Git,"Problem Solving, Communication, Analytical Thinking","DOORS, LabVIEW"
Aircraft Control Systems Engineer,"Flight Control Systems, Control Theory, Aircraft Systems","MATLAB, Simulink, Control System Toolbox, AeroMaths, LabVIEW, Dymola, Adams (MSC Software)",Git,"Problem Solving, Analytical Thinking, Teamwork","Simulink, MATLAB"
Spacecraft Instrumentation Engineer,"Space Instruments, Sensor Design, Data Analysis","MATLAB, Simulink, LabVIEW, FreeFlyer, COMSOL, SolidWorks, Python, STK (Systems Tool Kit)",Git,"Problem Solving, Attention to Detail, Teamwork","STK, MATLAB"
Rocket Propulsion Engineer,"Rocket Propulsion, Fluid Mechanics, Combustion","MATLAB, GT-SUITE, ANSYS Fluent, OpenRocket, COMSOL, Simulink, LabVIEW",Git,"Problem Solving, Analytical Thinking, Communication","AVL BOOST, GT-SUITE"
Air Traffic Control Systems Analyst,"ATC Systems, Radar Systems, Software Development","EuroControl Tools, NAV Canada ATC Systems, Radar Systems Software, MATLAB, Simulink, ATC Simulation Tools (e.g., ED-120, ED-111)",Git,"Problem Solving, Analytical Thinking, Communication","STK, MATLAB"
